ds,y
2022-11-17,5.15
2022-11-16,5.15
2022-11-15,5.15
2022-11-14,5.15
2022-11-10,5.15
2022-11-09,5.15
2022-11-08,5.15
2022-11-07,5.15
2022-11-04,5.15
2022-11-03,5.15
2022-11-02,5.15
2022-10-31,5.15
2022-10-28,5.15
2022-10-27,5.07
2022-10-26,4.9
2022-10-25,4.7
2022-10-24,4.63
2022-10-21,4.64
2022-10-20,4.73
2022-10-19,4.61
2022-10-18,4.72
2022-10-17,5.01
2022-10-14,4.88
2022-10-13,4.79
2022-10-12,4.79
2022-10-11,4.84
2022-10-10,4.87
2022-10-07,4.92
2022-10-06,5.02
2022-10-05,5
2022-10-04,5.12
2022-10-03,4.88
2022-09-30,4.88
2022-09-29,4.86
2022-09-28,5
2022-09-27,4.93
2022-09-26,4.8
2022-09-23,5.05
2022-09-22,5.36
2022-09-21,5.3
2022-09-20,5.17
2022-09-19,5.28
2022-09-16,5.13
2022-09-15,5.24
2022-09-14,5.25
2022-09-13,5.18
2022-09-12,5.4
2022-09-09,5.29
2022-09-08,5.09
2022-09-07,5.34
2022-09-06,5.25
2022-09-05,5.55
2022-09-02,5.43
2022-09-01,5.23
2022-08-31,5.59
2022-08-30,5.58
2022-08-29,5.89
2022-08-26,5.71
2022-08-25,5.97
2022-08-24,6.1
2022-08-23,6.28
2022-08-22,5.98
2022-08-19,6.25
2022-08-18,6.27
2022-08-17,6.22
2022-08-16,6.41
2022-08-12,6.55
2022-08-11,6.57
2022-08-10,6.51
2022-08-09,6.43
2022-08-08,6.5
2022-08-05,6.39
2022-08-04,6.58
2022-08-03,6.75
2022-08-02,6.88
2022-08-01,6.93
2022-07-29,6.92
2022-07-28,6.01
2022-07-27,6.12
2022-07-26,6.07
2022-07-25,6.03
2022-07-22,6.06
2022-07-21,5.55
2022-07-20,5.56
2022-07-19,5.62
2022-07-18,5.54
2022-07-15,5.32
2022-07-14,5.33
2022-07-13,5.52
2022-07-12,5.32
2022-07-11,5.61
2022-07-08,5.9
2022-07-07,5.71
2022-07-06,5.54
2022-07-05,5.65
2022-07-04,5.87
2022-07-01,5.71
2022-06-30,5.71
2022-06-29,5.97
2022-06-28,5.91
2022-06-27,5.79
2022-06-24,5.52
2022-06-23,5.52
2022-06-22,5.75
2022-06-21,5.85
2022-06-20,5.7
2022-06-17,5.86
2022-06-15,6.08
2022-06-14,6.03
2022-06-13,5.9
2022-06-10,5.9
2022-06-09,5.85
2022-06-08,5.93
2022-06-07,5.96
2022-06-06,5.96
2022-06-03,5.97
2022-06-02,5.92
2022-06-01,5.91
2022-05-31,5.98
2022-05-30,6.33
2022-05-27,6.18
2022-05-26,6.28
2022-05-25,6.22
2022-05-24,6.1
2022-05-23,6.25
2022-05-20,6.05
2022-05-19,6.1
2022-05-18,5.82
2022-05-17,5.77
2022-05-16,5.96
2022-05-13,5.89
2022-05-12,5.57
2022-05-11,5.69
2022-05-10,5.85
2022-05-09,6.1
2022-05-06,6.3
2022-05-05,6.1
2022-05-04,6.21
2022-05-02,6.16
2022-04-29,6.23
2022-04-28,6.32
2022-04-27,6.25
2022-04-26,6.19
2022-04-25,6.32
2022-04-22,6.42
2022-04-21,6.42
2022-04-20,6.68
2022-04-19,6.85
2022-04-18,6.68
2022-04-15,6.68
2022-04-14,6.68
2022-04-13,6.75
2022-04-12,6.6
2022-04-11,6.56
2022-04-08,6.45
2022-04-07,6.3
2022-04-06,6.48
2022-04-05,6.16
2022-04-04,6.28
2022-04-01,6.22
2022-03-31,6.21
2022-03-30,6.35
2022-03-29,6.38
2022-03-28,6.6
2022-03-25,6.68
2022-03-24,6.67
2022-03-23,6.67
2022-03-22,6.72
2022-03-21,6.75
