ds,y
2021-06-23, 6.63
2021-06-24, 6.58
2021-06-25, 6.67
2021-06-28, 6.80
2021-06-29, 6.82
2021-06-30, 6.74
2021-07-01, 6.73
2021-07-02, 6.68
2021-07-05, 6.67
2021-07-06, 6.63
2021-07-07, 6.48
2021-07-08, 6.60
2021-07-09, 6.50
2021-07-12, 6.55
2021-07-13, 6.49
2021-07-14, 6.47
2021-07-15, 6.51
2021-07-16, 6.34
2021-07-19, 6.29
2021-07-20, 6.12
2021-07-21, 6.11
2021-07-22, 6.12
2021-07-23, 6.20
2021-07-26, 6.16
2021-07-27, 6.13
2021-07-28, 6.21
2021-07-29, 6.28
2021-07-30, 6.30
2021-08-02, 6.31
2021-08-03, 6.40
2021-08-04, 6.30
2021-08-05, 6.29
2021-08-06, 6.27
2021-08-09, 6.32
2021-08-10, 6.29
2021-08-11, 6.31
2021-08-12, 6.27
2021-08-13, 6.32
2021-08-16, 6.28
2021-08-17, 6.31
2021-08-18, 6.27
2021-08-19, 6.31
2021-08-20, 6.30
2021-08-23, 6.32
2021-08-24, 6.29
2021-08-25, 6.33
2021-08-26, 6.30
2021-08-27, 6.25
2021-08-30, 6.29
2021-08-31, 6.33
2021-09-01, 6.31
2021-09-02, 6.25
2021-09-03, 6.26
2021-09-06, 6.21
2021-09-07, 6.25
2021-09-08, 6.27
2021-09-09, 6.20
2021-09-10, 6.20
2021-09-13, 6.27
2021-09-14, 6.31
2021-09-15, 6.41
2021-09-16, 6.36
2021-09-17, 6.35
2021-09-20, 6.18
2021-09-21, 5.96
2021-09-22, 6.15
2021-09-23, 6.24
2021-09-24, 6.22
2021-09-27, 6.16
2021-09-28, 6.09
2021-09-29, 6.11
2021-09-30, 6.24
2021-10-01, 6.42
2021-10-04, 6.33
2021-10-05, 6.46
2021-10-06, 6.58
2021-10-07, 6.47
2021-10-08, 6.44
2021-10-11, 6.52
2021-10-12, 6.53
2021-10-13, 6.61
2021-10-14, 6.55
2021-10-15, 6.59
2021-10-18, 6.56
2021-10-19, 6.55
2021-10-20, 6.58
2021-10-21, 6.50
2021-10-22, 6.44
2021-10-25, 6.36
2021-10-26, 6.42
2021-10-27, 6.29
2021-10-28, 6.28
2021-10-29, 6.10
2021-11-02, 6.07
2021-11-03, 6.25
2021-11-04, 6.21
2021-11-05, 6.35
2021-11-08, 6.33
2021-11-09, 6.22
2021-11-10, 6.20
2021-11-12, 6.19
2021-11-15, 6.20
2021-11-16, 6.20
2021-11-17, 6.14
2021-11-18, 6.09
2021-11-19, 5.93
2021-11-22, 6.10
2021-11-23, 6.04
2021-11-24, 6.04
2021-11-25, 6.07
2021-11-26, 5.86
2021-11-29, 5.70
2021-11-30, 5.51
2021-12-01, 5.62
2021-12-02, 5.62
2021-12-03, 5.65
2021-12-06, 5.74
2021-12-07, 5.86
2021-12-08, 5.84
2021-12-09, 5.74
2021-12-10, 5.77
2021-12-13, 5.69
2021-12-14, 5.73
