Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2022-11-18,6.6,6.56,6.69,6.4,23,-0.67
2022-11-17,6.33,6.6,6.72,6.3,27.18,4.36
2022-11-16,6.12,6.33,6.39,6.12,27.49,0.19
2022-11-15,6.3,6.31,6.36,6.08,24.95,0.67
2022-11-14,6.25,6.27,6.45,6.15,30.21,0.38
2022-11-10,6.02,6.25,6.26,5.78,21.74,3.96
2022-11-09,5.89,6.01,6.02,5.82,25.36,2.04
2022-11-08,5.77,5.89,6,5.59,34.82,2.19
2022-11-07,6.25,5.76,6.54,5.67,74.11,-6.82
2022-11-04,5.86,6.19,6.2,5.77,38.93,6.73
2022-11-03,5.71,5.8,5.94,5.63,24.4,-0.72
2022-11-02,5.55,5.84,5.85,5.55,37.97,7.12
2022-10-31,5.36,5.45,5.68,5.35,25.59,2.25
2022-10-28,5.15,5.33,5.34,5.09,17.48,3.05
2022-10-27,5.24,5.17,5.24,5.02,16.46,-0.54
2022-10-26,5.08,5.2,5.3,5.04,17.49,2.97
2022-10-25,4.83,5.05,5.25,4.8,26.77,6.56
2022-10-24,4.84,4.74,4.87,4.67,17.75,0
2022-10-21,4.95,4.74,4.95,4.66,15.15,-2.83
2022-10-20,4.94,4.88,5.05,4.79,25.1,-1.55
2022-10-19,5.2,4.95,5.2,4.92,25.85,-5.2
2022-10-18,5.65,5.23,5.65,5.16,22.96,-6.48
2022-10-17,5.36,5.59,5.75,5.36,12.09,4.76
2022-10-14,5.52,5.33,5.64,5.3,12.67,-1.62
2022-10-13,5.73,5.42,5.75,5.33,14.92,-4.24
2022-10-12,5.82,5.66,5.93,5.62,26,-1.5
2022-10-11,5.89,5.75,5.96,5.7,10.4,-1.24
2022-10-10,6.15,5.82,6.15,5.82,8.64,-5
2022-10-07,6.25,6.13,6.33,6.08,8.66,-2.76
2022-10-06,6.4,6.3,6.55,6.23,10.59,-0.97
2022-10-05,6.52,6.36,6.52,6.34,8.08,-2
2022-10-04,6.46,6.49,6.67,6.41,8.44,1.72
2022-10-03,6.32,6.38,6.41,6.01,13.06,1.69
2022-09-30,6.3,6.28,6.42,6.2,14.15,1.23
2022-09-29,6.49,6.2,6.49,6.12,13.2,-4.62
2022-09-28,6.4,6.5,6.57,6.24,12.42,-0.31
2022-09-27,6.54,6.52,6.73,6.45,16.72,1.34
2022-09-26,6.67,6.43,6.76,6.3,31.88,-6.75
2022-09-23,7.13,6.9,7.13,6.82,8.83,-1.99
2022-09-22,6.87,7.04,7.16,6.78,14.52,1.62
2022-09-21,6.87,6.93,7.04,6.84,12.77,0.64
2022-09-20,7.08,6.88,7.15,6.83,16.28,-2.35
2022-09-19,6.7,7.05,7.06,6.7,15.55,5.86
2022-09-16,6.76,6.66,6.99,6.64,86.56,-2.32
2022-09-15,6.97,6.82,7.05,6.75,22.64,-1.27
2022-09-14,6.91,6.91,6.99,6.77,15.71,-0.38
2022-09-13,7.32,6.93,7.32,6.87,19.83,-4.12
2022-09-12,7.68,7.23,7.68,7.17,17.25,-5.22
2022-09-09,7.28,7.63,7.67,7.2,15.34,6.15
2022-09-08,7.35,7.19,7.53,7.16,19.2,-0.53
2022-09-07,6.65,7.22,7.23,6.55,20.92,7.53
2022-09-06,7.08,6.72,7.18,6.71,11.68,-4.95
2022-09-05,7.19,7.07,7.26,7,6.53,-2
2022-09-02,7.21,7.21,7.39,7,25.22,2.39
2022-09-01,7.1,7.04,7.23,6.94,17.09,-1.78
2022-08-31,7.29,7.17,7.32,7.08,23.91,-0.39
2022-08-30,7.49,7.2,7.6,7.2,16.91,-3.79
2022-08-29,7.54,7.48,7.55,7.22,21.97,-2.14
2022-08-26,8.19,7.65,8.19,7.56,19.76,-6.41
2022-08-25,8.43,8.17,8.48,8.15,10,-1.23
2022-08-24,8.72,8.27,8.72,8.24,13.82,-4.72
2022-08-23,8.69,8.68,8.92,8.62,20.3,-0.12
2022-08-22,9.05,8.69,9.05,8.62,14.38,-3.01
2022-08-19,9.35,8.96,9.35,8.96,22.14,-5.12
2022-08-18,9.48,9.45,9.6,9.38,13.31,-1.4
2022-08-17,9.73,9.58,9.73,9.35,10.27,-0.46
2022-08-16,9.75,9.63,9.95,9.55,18.12,-1.07
2022-08-12,9.6,9.73,9.73,9.54,7.41,1.04
2022-08-11,9.72,9.63,9.72,9.56,9.26,0.58
2022-08-10,9.66,9.57,9.79,9.55,10.12,-1.64
2022-08-09,9.86,9.73,9.89,9.7,10.52,-0.67
2022-08-08,9.6,9.8,9.86,9.42,16.73,2.64
2022-08-05,9.51,9.55,9.78,9.51,15.7,0.38
2022-08-04,10,9.51,10,9.5,12.04,-4.17
2022-08-03,9.92,9.93,10.1,9.6,23.3,0.28
2022-08-02,10.05,9.9,10.29,9.83,26.42,-2.96
2022-08-01,10.34,10.2,10.34,10.13,11.27,-1.35
2022-07-29,10.15,10.34,10.35,10.11,18.64,1.77
2022-07-28,10.33,10.16,10.38,10.03,13.67,-2.96
2022-07-27,10.33,10.47,10.56,10.17,18.72,-0.71
2022-07-26,10.29,10.54,10.54,10.27,15.91,2.08
